R.T. Nagar,Ganga Nagar
Rajanakunte,Yelahanka Satellite
Rajankunte,Yelahanka Satellite
Ramakrishna Hegde nagar,Jakkur
RMV 2nd stage,Sanjay Nagar
RT Nagar,Ganga Nagar
Sadashiv Nagar,Aramane Nagar
Sadashiva Nagar,Aramane Nagar
Sadashivanagar,Aramane Nagar
Sadashivnagar,Aramane Nagar
Sahakara Nagar,Byatarayanapura
Sahakaranagar P.o,Byatarayanapura
Sahakarnagar,Byatarayanapura
Sanjay Nagar,Radhakrishna Temple
Sanjaynagar,Radhakrishna Temple
Sankey Road,Aramane Nagar
Saraswathipuram,Nandini Layout
Science Institute,Mathikere
Seshadripuram,Sampangiram Nagar
Sharada Nagar,Vasanthapura
Singanayakanahalli,Attur
St. thomas town,Kacharakanahalli
Subbaiah Palaya,Chalavadipalya
Sultanpalya,Manorayanapalya
Swimming Pool extn,Kadumalleshwara
Tank Bund Road,Kempegowda
Tata Nagar,Doddabommasandra
Telecom Layouts,Jakkur
Vaiyyalikaval,Kadumalleshwara
Vasant Nagar,Vasanth Nagar
Venkatagiri Kote,Hosahalli
Venkatarangapura,Chalavadipalya
Venkateshapura,Kadugondanahalli
Vyalikaval Extn,Kadumalleshwara
Wheel And axle plant,Yelahanka Satellite
Yelahanka,Yelahanka Satellite
Yelahanka Road,Vidyaranyapura
Yelahanka Satellite town,Attur
Yeshwanthpur,Yeshwanthpur
Yeshwanthpur Bazar,J.P.Park
Yeswanthpur,Yeshwanthpur
Yeswanthpura,Yeshwanthpur
Agara,HSR Layout
Anekal,Singasandra
Anekal Taluk,Singasandra
Anekalbazar,Singasandra
Arakere,Arakere
Attibele,Singasandra
B Sk ii stage,Karisandra
Banashankari,Chikkalasandra
Banashankari Iii stage,Giri Nagar
Bannerghatta,Gottigere
Bannerghatta Rd,Gottigere
Bannerghatta Road,Gottigere
Basavanagudi,Basavangudi
Basavangudi,Basavangudi
Begur Koppa Road,Gottigere
Begur-Koppa Road,Gottigere
Bidaraguppe,Varthur
Bilekahalli,Bilekahalli
Bommanahalli,Bommanahalli
BTM Layout,Kuvempu Nagar
BTS Layout,Arakere
Bull Temple Road,Shankaramata
Chamrajpet Bazar,Chamrajpet
Chandrapura,Singasandra
Chikkalasandra,Chikkalasandra
Davanagere,Jayangar
Davangere,Herohalli
Diagonal Road,Visvesvarapuram
Doddakallasandra,Konanakunte
Doddamavalli,Visvesvarapuram
Doddathogur,Begur
Doddathogur village,Begur
Dommasandra,Varthur
Ejipura,Ejipura
Electronics city,Singasandra
Electronics City,Singasandra
Gandhi Bazar,Basavangudi
Gavipuram,Hanumantha Nagar
Girinagar,Giri Nagar
Govindaraj Nagar,Govindraja Nagara
Halasuru,Ulsoor
Handenahalli,Singasandra
Hanumanthanagar,Sunkenahalli
Harapanahalli,Gottigere
Hebbagodi,Singasandra
Hongasandra,Hongasandra
Hosakerehalli,Hosakerehalli
Hosur Road,Singasandra
Hosur Road,Singasandra
Hsr Layout,HSR Layout
Hulimavu,Bilekahalli
ISRO Layout,Kumaraswamy Layout
Ittamadu Layout,Chikkalasandra
J P nagar,Marenahalli
J. P. Nagar,Marenahalli
J.P. Nagar,Marenahalli
Jakkasandra Post,Koramangala
Jaya Nagar,Jayangar
Jayanagar,Jayangar
Jayanagar West,Jayangar
Jayangar East,Jayanagar East
Jayangar Iii block,Jayanagar East
Jigani,Begur
Journalist Colony,Visvesvarapuram
JP Nagar,Marenahalli
Jp Nagar iii phase,Marenahalli
K.R. Road,Basavangudi
Kamanhalli,Kacharakanahalli
Kammanahalli,Kacharakanahalli
Kanakapura Road,Vasanthapura
Kathriguppe,Katriguppe
Kempapura,Byatarayanapura
Kendriya Sadan,Madiwala
Konanakunte,Konanakunte
Kumaraswamy Layout,Kumaraswamy Layout
Kumbalgodu,Maruthi Mandira
Kumbaragundi,Dharmarayaswamy Temple
Lakkasandra,Lakkasandra
Lakshman Mudaliar Street,Shivaji Nagar
Lakshmipura,Vidyaranyapura
Madhavan Park,Jayanagar East
Madivala,Sudduguntepalya
Mayasandra,Singasandra
Mico Layout,BTM Layout
Mount St joseph,Gottigere
Mudaliar Road,Pulikeshi Nagar
Muthanallur,Singasandra
Nayandahalli,Nayandanahalli
Neelasandra,Vannarpet
Neralur,Singasandra
O.T.C. Road,K.R.Market
Off Sarjapur Road,Bellandur
Padmanabhanagar,Padmanabha Nagar
Padmanabhnagar,Padmanabha Nagar
R.V. Road,Jayanagar East
Raghavendra Nagar,Hoysala Nagar
Raja Rajeshwari Nagar,Rajarajeshwari Nagar
Rajpet,Vasanth Nagar
Ramanashree Nagar,Gottigere
Sarjapur,Varthur
Sarjapur Road,Bellandur
Sarjapura,Varthur
Shanti Nagar,Shanthi Nagar
Siddaiah Road,Sudam Nagar
Singasandra,Singasandra
State Bank of mysore colony,Padmanabha Nagar
Subramanyapura,Vasanthapura
Sunkalpet,Dharmarayaswamy Temple
Surya city,Singasandra
Tavarekere Road,Sudduguntepalya
Thyagarajanagar,Sri Rammandira
Tilak Nagar,Jayangar
Tilaknagar,Jayangar
Uttarahalli,Uttarahalli
Uttrahlli,Uttarahalli
V.V.Puram,Visvesvarapuram
Vikramnagar,Yelachenahalli
Vivek Nagar,Neelasandra
Viveknagar,Neelasandra
VV Puram,Visvesvarapuram
Walton Road,Hosathippasandra
Wilson Garden,Lakkasandra
Yadavanahalli,Singasandra
Yediyur,Ganeshmandira
Yelachenahalli,Jaraganahalli
Anubhav Nagar,Moodalapalya
Avani Sringeri mutt,Nagapura
Bapuji Nagar,Gali Anjaneya Swamy Temple
Bapujinagar,Gali Anjaneya Swamy Temple
Basaveshwara Nagar,Shakthiganapathi Nagar
Basaveshwaranagar,Shakthiganapathi Nagar
Basaveshwarnagar,Shakthiganapathi Nagar
Basaveswaranagar Ii stage,Basaveshwara Nagar
Bhashyam Circle,Rajaji Nagar
Cambridge Layout,Jogupalya
Chamarajpet,Chamrajpet
Chamrajpet,Chamrajpet
Chandra Lay out,Deepanjali Nagar
Chandra Layout,Deepanjali Nagar
Chikkabettahalli,Vidyaranyapura
Gandhi Nagar,Gandhi Nagar
Gaviopuram Extension,Hanumantha Nagar
Gaviopuram Guttanahalli,Chamrajpet
Hegganahalli,Rajagopala Nagar
K H b colony,Basaveshwara Nagar
Kamakshipalya,Vrushabhavathi
Kempe Gowda Road,Chikpete
Kengeri,Kengeri
Kengiri,Kengeri
KHB Colony,Basaveshwara Nagar
Laggere,Lakshmidevi Nagar
Mahalakshmipuram,Mahalakshmipuram
Mahalakshmipuram Layout,Mahalakshmipuram
Mudalapalya,Moodalapalya
Mysore,Hosathippasandra
Mysore Road,Kengeri
N. G. E. F Layout,Nagarabhavi
Nagarbhavi,Nagarabhavi
Narasimharaja Colony,Kottigepalya
Narasimjharaja Road,Dharmarayaswamy Temple
Nehru Main Rd,Kammanahalli
Rajaji Nagar,Shiva Nagar
Rajajinagar,Shiva Nagar
Rajajinagar I block,Okalipuram
Rajajinagar Ivth block,Rajaji Nagar
Rajarajeshwarinagar,Rajarajeshwari Nagar
RPC Layout,Hampi Nagar
Srinivas Nagar,Katriguppe
Sunkadakatte,Kottigepalya
Tumkur Road,Bagalagunte
Ullal,Ullalu
Vidyaranyapura,Vidyaranyapura
Vijay Nagar,Vijay Nagar
Vijayanagar,Vijay Nagar
Vijayanagar East,Vijay Nagar
